Electrode_ID,Neuron_ID,Spike_Frame,Spike_Time_Seconds
Ch8,Ch8_U2,11151,0.278775
Ch54,Ch54_U3,11300,0.2825
Ch30,Ch30_U1,11351,0.283775
Ch22,Ch22_U1,11355,0.283875
Ch26,Ch26_U2,11360,0.284
Ch30,Ch30_U1,11603,0.290075
Ch54,Ch54_U3,11637,0.290925
Ch26,Ch26_U4,11654,0.29135
Ch0,Ch0_U1,11694,0.29235
Ch30,Ch30_U2,11881,0.297025
Ch51,Ch51_U1,11906,0.29765
Ch51,Ch51_U1,11927,0.298175
Ch26,Ch26_U2,11978,0.29945
Ch54,Ch54_U2,12038,0.30095
Ch30,Ch30_U1,12316,0.3079
Ch54,Ch54_U3,12576,0.3144
Ch54,Ch54_U3,12860,0.3215
Ch51,Ch51_U1,13029,0.325725
Ch54,Ch54_U2,13044,0.3261
Ch30,Ch30_U2,13087,0.327175
Ch54,Ch54_U2,13238,0.33095
Ch30,Ch30_U2,13352,0.3338
Ch52,Ch52_U3,13483,0.337075
Ch54,Ch54_U3,13484,0.3371
Ch31,Ch31_U1,13652,0.3413
Ch30,Ch30_U1,13790,0.34475
Ch26,Ch26_U4,14300,0.3575
Ch54,Ch54_U3,14561,0.364025
Ch31,Ch31_U1,14593,0.364825
Ch52,Ch52_U2,15273,0.381825
Ch26,Ch26_U4,15725,0.393125
Ch31,Ch31_U1,15850,0.39625
Ch26,Ch26_U4,16274,0.40685
Ch54,Ch54_U3,17663,0.441575
Ch20,Ch20_U1,58151,1.453775
Ch6,Ch6_U2,58230,1.45575
Ch8,Ch8_U2,58271,1.456775
Ch20,Ch20_U2,58281,1.457025
Ch19,Ch19_U1,58287,1.457175
Ch18,Ch18_U1,58304,1.4576
Ch0,Ch0_U1,58355,1.458875
Ch6,Ch6_U1,58363,1.459075
Ch13,Ch13_U1,58371,1.459275
Ch26,Ch26_U2,58371,1.459275
Ch0,Ch0_U1,58388,1.4597
Ch26,Ch26_U2,58390,1.45975
Ch32,Ch32_U1,58391,1.459775
Ch6,Ch6_U2,58392,1.4598
Ch12,Ch12_U1,58400,1.46
Ch0,Ch0_U1,58403,1.460075
Ch20,Ch20_U4,58406,1.46015
Ch38,Ch38_U1,58416,1.4604
Ch12,Ch12_U1,58416,1.4604
Ch0,Ch0_U1,58417,1.460425
Ch26,Ch26_U2,58417,1.460425
Ch30,Ch30_U2,58417,1.460425
Ch52,Ch52_U1,58428,1.4607
Ch29,Ch29_U4,58433,1.460825
Ch34,Ch34_U1,58440,1.461
Ch55,Ch55_U1,58443,1.461075
Ch7,Ch7_U1,58456,1.4614
Ch51,Ch51_U1,58460,1.4615
Ch37,Ch37_U1,58464,1.4616
Ch30,Ch30_U2,58467,1.461675
Ch36,Ch36_U2,58468,1.4617
Ch19,Ch19_U5,58472,1.4618
Ch36,Ch36_U2,58485,1.462125
Ch52,Ch52_U2,58488,1.4622
Ch54,Ch54_U3,58490,1.46225
Ch6,Ch6_U2,58501,1.462525
Ch30,Ch30_U1,58501,1.462525
Ch51,Ch51_U1,58503,1.462575
Ch3,Ch3_U1,58523,1.463075
Ch58,Ch58_U2,58532,1.4633
Ch47,Ch47_U1,58535,1.463375
Ch32,Ch32_U2,58537,1.463425
Ch54,Ch54_U3,58550,1.46375
Ch6,Ch6_U2,58559,1.463975
Ch8,Ch8_U2,58572,1.4643
Ch30,Ch30_U2,58575,1.464375
Ch37,Ch37_U1,58575,1.464375
Ch20,Ch20_U4,58576,1.4644
Ch20,Ch20_U4,58592,1.4648
Ch29,Ch29_U2,58605,1.465125
Ch26,Ch26_U2,58622,1.46555
Ch12,Ch12_U1,58623,1.465575
Ch51,Ch51_U1,58623,1.465575
Ch51,Ch51_U1,58636,1.4659
Ch52,Ch52_U2,58652,1.4663
Ch0,Ch0_U1,58660,1.4665
Ch47,Ch47_U2,58670,1.46675
Ch26,Ch26_U4,58674,1.46685
Ch29,Ch29_U2,58674,1.46685
Ch51,Ch51_U1,58711,1.467775
Ch30,Ch30_U1,58732,1.4683
Ch7,Ch7_U1,58748,1.4687
Ch0,Ch0_U1,58752,1.4688
Ch51,Ch51_U2,58766,1.46915
Ch8,Ch8_U2,58767,1.469175
Ch54,Ch54_U1,58783,1.469575
Ch12,Ch12_U1,58799,1.469975
Ch30,Ch30_U2,58801,1.470025
Ch21,Ch21_U1,58803,1.470075
Ch36,Ch36_U2,58811,1.470275
Ch26,Ch26_U3,58819,1.470475
Ch54,Ch54_U2,58841,1.471025
Ch16,Ch16_U1,58842,1.47105
Ch38,Ch38_U3,58842,1.47105
Ch30,Ch30_U1,58878,1.47195
Ch26,Ch26_U4,58881,1.472025
Ch51,Ch51_U1,58923,1.473075
Ch21,Ch21_U2,58935,1.473375
Ch51,Ch51_U1,58958,1.47395
Ch30,Ch30_U3,58969,1.474225
Ch54,Ch54_U2,59022,1.47555
Ch51,Ch51_U1,59077,1.476925
Ch36,Ch36_U1,59097,1.477425
Ch38,Ch38_U3,59098,1.47745
Ch51,Ch51_U1,59098,1.47745
Ch30,Ch30_U1,59106,1.47765
Ch31,Ch31_U1,59112,1.4778
Ch54,Ch54_U3,59122,1.47805
Ch51,Ch51_U1,59126,1.47815
Ch30,Ch30_U2,59224,1.4806
Ch36,Ch36_U2,59225,1.480625
Ch54,Ch54_U2,59229,1.480725
Ch36,Ch36_U2,59263,1.481575
Ch0,Ch0_U1,59268,1.4817
Ch51,Ch51_U1,59271,1.481775
Ch36,Ch36_U1,59274,1.48185
Ch51,Ch51_U1,59325,1.483125
Ch16,Ch16_U1,59336,1.4834
Ch36,Ch36_U2,59341,1.483525
Ch30,Ch30_U2,59356,1.4839
Ch31,Ch31_U2,59361,1.484025
Ch51,Ch51_U1,59372,1.4843
Ch36,Ch36_U2,59377,1.484425
Ch54,Ch54_U2,59389,1.484725
Ch36,Ch36_U2,59393,1.484825
Ch51,Ch51_U1,59405,1.485125
Ch0,Ch0_U1,59433,1.485825
Ch36,Ch36_U2,59484,1.4871
Ch51,Ch51_U1,59566,1.48915
Ch0,Ch0_U1,59598,1.48995
Ch54,Ch54_U3,59654,1.49135
Ch51,Ch51_U1,59725,1.493125
Ch54,Ch54_U2,59747,1.493675
Ch30,Ch30_U2,59770,1.49425
Ch36,Ch36_U2,59778,1.49445
Ch26,Ch26_U3,59787,1.494675
Ch54,Ch54_U3,59876,1.4969
Ch21,Ch21_U2,59954,1.49885
Ch26,Ch26_U4,59960,1.499
Ch54,Ch54_U2,60098,1.50245
Ch51,Ch51_U1,60125,1.503125
Ch30,Ch30_U2,60158,1.50395
Ch26,Ch26_U4,60161,1.504025
Ch31,Ch31_U1,60170,1.50425
Ch0,Ch0_U1,60205,1.505125
Ch30,Ch30_U1,60323,1.508075
Ch30,Ch30_U2,60443,1.511075
Ch21,Ch21_U2,60558,1.51395
Ch51,Ch51_U1,60561,1.514025
Ch30,Ch30_U2,60568,1.5142
Ch31,Ch31_U1,60573,1.514325
Ch22,Ch22_U1,60576,1.5144
Ch51,Ch51_U1,60583,1.514575
Ch16,Ch16_U1,60593,1.514825
Ch26,Ch26_U4,60593,1.514825
Ch31,Ch31_U1,60738,1.51845
Ch26,Ch26_U4,60817,1.520425
Ch51,Ch51_U1,60829,1.520725
Ch0,Ch0_U1,60853,1.521325
Ch21,Ch21_U2,60987,1.524675
Ch51,Ch51_U1,61022,1.52555
Ch31,Ch31_U1,61063,1.526575
Ch26,Ch26_U3,61298,1.53245
Ch54,Ch54_U2,61322,1.53305
Ch0,Ch0_U1,61358,1.53395
Ch30,Ch30_U2,61467,1.536675
Ch31,Ch31_U1,61474,1.53685
Ch54,Ch54_U3,61481,1.537025
Ch26,Ch26_U4,61722,1.54305
Ch30,Ch30_U1,62036,1.5509
Ch54,Ch54_U3,62036,1.5509
Ch31,Ch31_U1,62041,1.551025
Ch54,Ch54_U2,62254,1.55635
Ch26,Ch26_U4,62279,1.556975
Ch44,Ch44_U1,62340,1.5585
Ch30,Ch30_U1,62630,1.56575
Ch54,Ch54_U3,62660,1.5665
Ch51,Ch51_U1,62798,1.56995
Ch54,Ch54_U2,62895,1.572375
Ch26,Ch26_U4,62918,1.57295
Ch54,Ch54_U2,63042,1.57605
Ch26,Ch26_U4,63123,1.578075
Ch30,Ch30_U1,63158,1.57895
Ch26,Ch26_U2,63259,1.581475
Ch54,Ch54_U2,63272,1.5818
Ch30,Ch30_U1,63506,1.58765
Ch54,Ch54_U2,63544,1.5886
Ch26,Ch26_U4,63640,1.591
Ch26,Ch26_U4,63947,1.598675
Ch30,Ch30_U1,63973,1.599325
Ch54,Ch54_U2,64283,1.607075
Ch54,Ch54_U3,64910,1.62275
Ch26,Ch26_U2,65078,1.62695
Ch54,Ch54_U2,65360,1.634
Ch26,Ch26_U4,65710,1.64275
Ch54,Ch54_U3,65895,1.647375
Ch52,Ch52_U2,66058,1.65145
Ch26,Ch26_U2,66083,1.652075
Ch26,Ch26_U4,66658,1.66645
Ch30,Ch30_U1,66694,1.66735
Ch52,Ch52_U2,66886,1.67215
Ch54,Ch54_U2,67451,1.686275
Ch20,Ch20_U1,107849,2.696225
Ch19,Ch19_U5,107984,2.6996
Ch20,Ch20_U2,108004,2.7001
Ch0,Ch0_U1,108011,2.700275
Ch18,Ch18_U1,108022,2.70055
Ch6,Ch6_U1,108049,2.701225
Ch0,Ch0_U1,108065,2.701625
Ch26,Ch26_U2,108072,2.7018
Ch6,Ch6_U2,108078,2.70195
Ch31,Ch31_U2,108085,2.702125
Ch13,Ch13_U1,108088,2.7022
Ch29,Ch29_U2,108088,2.7022
Ch26,Ch26_U2,108090,2.70225
Ch12,Ch12_U1,108094,2.70235
Ch32,Ch32_U1,108097,2.702425
Ch26,Ch26_U2,108109,2.702725
Ch0,Ch0_U1,108112,2.7028
Ch30,Ch30_U1,108120,2.703
Ch6,Ch6_U2,108128,2.7032
Ch38,Ch38_U1,108128,2.7032
Ch20,Ch20_U4,108142,2.70355
Ch34,Ch34_U1,108143,2.703575
Ch7,Ch7_U1,108147,2.703675
Ch3,Ch3_U1,108153,2.703825
Ch22,Ch22_U1,108155,2.703875
Ch52,Ch52_U1,108158,2.70395
Ch6,Ch6_U2,108162,2.70405
Ch12,Ch12_U1,108165,2.704125
Ch37,Ch37_U1,108166,2.70415
Ch0,Ch0_U1,108179,2.704475
Ch54,Ch54_U3,108183,2.704575
Ch51,Ch51_U1,108187,2.704675
Ch36,Ch36_U2,108189,2.704725
Ch52,Ch52_U5,108193,2.704825
Ch44,Ch44_U1,108213,2.705325
Ch26,Ch26_U2,108226,2.70565
Ch30,Ch30_U2,108233,2.705825
Ch29,Ch29_U1,108244,2.7061
Ch38,Ch38_U4,108245,2.706125
Ch32,Ch32_U2,108252,2.7063
Ch38,Ch38_U3,108260,2.7065
Ch47,Ch47_U1,108267,2.706675
Ch8,Ch8_U2,108298,2.70745
Ch37,Ch37_U1,108303,2.707575
Ch58,Ch58_U3,108308,2.7077
Ch0,Ch0_U1,108339,2.708475
Ch51,Ch51_U1,108345,2.708625
Ch5,Ch5_U1,108346,2.70865
Ch29,Ch29_U2,108348,2.7087
Ch44,Ch44_U1,108352,2.7088
Ch30,Ch30_U1,108354,2.70885
Ch26,Ch26_U2,108360,2.709
Ch52,Ch52_U2,108362,2.70905
Ch0,Ch0_U1,108370,2.70925
Ch20,Ch20_U4,108378,2.70945
Ch52,Ch52_U2,108379,2.709475
Ch29,Ch29_U3,108392,2.7098
Ch8,Ch8_U2,108400,2.71
Ch51,Ch51_U1,108415,2.710375
Ch47,Ch47_U2,108438,2.71095
Ch8,Ch8_U1,108447,2.711175
Ch21,Ch21_U1,108462,2.71155
Ch53,Ch53_U1,108489,2.712225
Ch8,Ch8_U2,108497,2.712425
Ch3,Ch3_U1,108500,2.7125
Ch30,Ch30_U1,108502,2.71255
Ch12,Ch12_U1,108503,2.712575
Ch8,Ch8_U2,108514,2.71285
Ch51,Ch51_U1,108531,2.713275
Ch54,Ch54_U3,108533,2.713325
Ch51,Ch51_U1,108545,2.713625
Ch0,Ch0_U1,108550,2.71375
Ch12,Ch12_U1,108553,2.713825
Ch51,Ch51_U1,108564,2.7141
Ch30,Ch30_U2,108573,2.714325
Ch8,Ch8_U1,108590,2.71475
Ch26,Ch26_U4,108610,2.71525
Ch52,Ch52_U6,108613,2.715325
Ch21,Ch21_U2,108616,2.7154
Ch51,Ch51_U1,108617,2.715425
Ch16,Ch16_U1,108626,2.71565
Ch31,Ch31_U2,108674,2.71685
Ch51,Ch51_U1,108675,2.716875
Ch0,Ch0_U1,108678,2.71695
Ch51,Ch51_U1,108759,2.718975
Ch51,Ch51_U1,108796,2.7199
Ch38,Ch38_U3,108824,2.7206
Ch36,Ch36_U2,108835,2.720875
Ch54,Ch54_U3,108845,2.721125
Ch36,Ch36_U1,108847,2.721175
Ch51,Ch51_U1,108894,2.72235
Ch0,Ch0_U1,108896,2.7224
Ch36,Ch36_U2,108905,2.722625
Ch51,Ch51_U1,108921,2.723025
Ch36,Ch36_U1,108957,2.723925
Ch29,Ch29_U2,108962,2.72405
Ch51,Ch51_U1,109066,2.72665
Ch36,Ch36_U1,109086,2.72715
Ch51,Ch51_U1,109104,2.7276
Ch36,Ch36_U2,109212,2.7303
Ch51,Ch51_U1,109372,2.7343
Ch26,Ch26_U2,109419,2.735475
Ch54,Ch54_U3,109432,2.7358
Ch30,Ch30_U2,109510,2.73775
Ch8,Ch8_U1,109530,2.73825
Ch54,Ch54_U2,109536,2.7384
Ch26,Ch26_U3,109608,2.7402
Ch51,Ch51_U1,109619,2.740475
Ch31,Ch31_U1,109670,2.74175
Ch36,Ch36_U2,109681,2.742025
Ch21,Ch21_U2,109783,2.744575
Ch26,Ch26_U2,109800,2.745
Ch51,Ch51_U1,109809,2.745225
